what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1368486811663
processors,sysinfo,,,"4",1368486811663
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1368486811663
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1368486811663
java.specification.name,sysinfo,,,"Java Platform API Specification",1368486811663
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368486811663
java.specification.version,sysinfo,,,"1.6",1368486811663
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1368486811663
java.version,sysinfo,,,"1.6.0_23",1368486811663
java.vm.info,sysinfo,,,"mixed mode",1368486811663
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1368486811663
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1368486811663
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1368486811663
java.vm.specification.version,sysinfo,,,"1.0",1368486811663
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1368486811663
java.vm.version,sysinfo,,,"19.0-b09",1368486811663
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1368486811824
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1368486813139
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368486813145
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1368486814455
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1368486817958
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1368486817962
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1368486817962
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1368486817963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486817986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486819844
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368486825936
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368486825977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1368486842326
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1368486843224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486845183
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486846755
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486849612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486850185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486853126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486853722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486860292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486860908
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486863904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486864466
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368486865394
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368487030309
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1368487033294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368487041144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368487112662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368487116104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368487117720
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1368487117786
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1368487117856
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1368487117975
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1368487117975
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.144,"com.altera.debug.cdi.gdb.plugin",1368487117976
stopped,bundle,com.altera.sbtgui.launch,13.0.0.144,"com.altera.sbtgui.launch",1368487117976
stopped,bundle,com.altera.sbtgui.ui,13.0.0.144,"com.altera.sbtgui.ui",1368487117976
stopped,bundle,com.altera.sbtgui.project,13.0.0.144,"com.altera.sbtgui.project",1368487117976
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1368487117976
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1368487117976
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1368487117976
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1368487117976
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1368487117977
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1368487117977
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1368487117978
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1368489265025
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1368489265026
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1368489265027
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1368489265028
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1368489265029
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1368489265030
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1368489265030
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1368489265031
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1368489265032
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1368489265032
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1368489265033
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1368489265034
