what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130269240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130272314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130275932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1387130275957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130291306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1387130297253
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1387130303255
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.cPerspective",1387130303255
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1387130305267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130306937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130446981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130454429
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1387130460412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130465658
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1387130465662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130474325
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1387130474367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130476982
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1387130477056
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1387130479785
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1387130479884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130519818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130526247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130526977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130535783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130536498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130549993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130550523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130552052
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130552541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130567507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130602794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130605003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130605489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130616413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387130616899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387131001869
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387131002352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387131839838
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1387131843396
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1387131845368
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.cPerspective",1387131845369
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1387131846604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387131851568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138087664
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1387138118941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138396250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138485769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138489507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138492862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1387138495213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1387138501121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1387138502235
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1387138613654
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1387138624577
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138636985
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1387138637025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138638339
activated,perspective,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui.debugPerspective",1387138638951
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1387138643286
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1387138643396
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1387138649719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138703120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138706678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138774539
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138848781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138848941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387138849040
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1387139005314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1387139012303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387139012585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1387139012646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387139012921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387139014765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387139016218
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1387139376158
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1387139376159
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1387139376169
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1387139376183
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1387139376201
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1387139376209
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1387139376214
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1387139376215
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1387139376215
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1387139376237
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1387139376243
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1387139376257
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1387139376259
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1387139376259
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1387139376302
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1387139376316
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1387139376328
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1387139376335
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1387139376337
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1387139376338
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1387139376339
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1387139376351
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1387139376354
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1387139376362
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1387139376364
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1387139376378
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1387139376380
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1387139376391
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1387139376421
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1387139376451
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1387139376468
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1387139376470
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1387139376471
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1387139376493
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1387139376494
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1387139376496
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1387139376497
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1387139376499
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1387139376520
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1387139376522
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1387139376524
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1387139376526
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1387139376535
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1387139376537
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1387139376540
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1387139376545
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1387139376546
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1387139376552
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1387139376554
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1387139376561
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1387139376562
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1387139376569
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1387139376577
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1387139376579
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1387139376580
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1387139376617
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1387139376631
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1387139376641
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1387139376656
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1387139376658
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1387139376658
