what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386975927803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386975930873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386975966763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386975990886
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1386976024512
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976029553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976049771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976145816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386976173029
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1386976276986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1386976278642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386976298902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1386976320239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386976395332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386976435169
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1386976443492
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1386976443743
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1386976443773
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1386976443843
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1386976444183
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1386976448525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976448555
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1386976448555
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1386976448603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976459070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976465363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976507123
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1386976510536
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1386976513276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976513576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976518097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976522220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976524333
error,log,,,"Unable to validate connection settings.",1386976529896
error,log,,,"Unable to validate connection settings.",1386976529896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976529936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976535000
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1386976561165
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976565920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976588080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976590012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386976607689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976612994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976614948
error,log,,,"Unable to validate connection settings.",1386976620402
error,log,,,"Unable to validate connection settings.",1386976620402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976620442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976622772
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976631397
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976631487
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976632737
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976632827
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976634317
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976634407
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976635800
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976635900
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386976638410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976735490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976738650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976739130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976803445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976803845
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1386976807679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976834709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976886289
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976886669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976894253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386976897023
